,gene,site,strand,chromosome,exon,BE,guide1,guide2,guide3,guide4,guide5
16,LSS,splice donor,+,21,18.0,ABE,chr21:46219471-46219490,chr21:46219470-46219489,chr21:46219469-46219488,chr21:46219468-46219487,chr21:46219467-46219486
17,LSS,splice donor,+,21,19.0,ABE,chr21:46221849-46221868,chr21:46221848-46221867,chr21:46221847-46221866,chr21:46221846-46221865,chr21:46221845-46221864
18,LSS,splice donor,+,21,20.0,ABE,chr21:46222625-46222644,chr21:46222624-46222643,chr21:46222623-46222642,chr21:46222622-46222641,chr21:46222621-46222640
19,LSS,splice donor,+,21,21.0,ABE,chr21:46227547-46227566,chr21:46227546-46227565,chr21:46227545-46227564,chr21:46227544-46227563,chr21:46227543-46227562
20,LSS,splice donor,+,21,22.0,ABE,chr21:46228429-46228448,chr21:46228428-46228447,chr21:46228427-46228446,chr21:46228426-46228445,chr21:46228425-46228444
0,LSS,splice acceptor,-,21,2.0,ABE,chr21:46191221-46191240,chr21:46191222-46191241,chr21:46191223-46191242,chr21:46191224-46191243,chr21:46191225-46191244
1,LSS,splice acceptor,-,21,3.0,ABE,chr21:46191945-46191964,chr21:46191946-46191965,chr21:46191947-46191966,chr21:46191948-46191967,chr21:46191949-46191968
2,LSS,splice acceptor,-,21,4.0,ABE,chr21:46194647-46194666,chr21:46194648-46194667,chr21:46194649-46194668,chr21:46194650-46194669,chr21:46194651-46194670
3,LSS,splice acceptor,-,21,5.0,ABE,chr21:46195742-46195761,chr21:46195743-46195762,chr21:46195744-46195763,chr21:46195745-46195764,chr21:46195746-46195765
4,LSS,splice acceptor,-,21,6.0,ABE,chr21:46196253-46196272,chr21:46196254-46196273,chr21:46196255-46196274,chr21:46196256-46196275,chr21:46196257-46196276
5,LSS,splice acceptor,-,21,7.0,ABE,chr21:46205927-46205946,chr21:46205928-46205947,chr21:46205929-46205948,chr21:46205930-46205949,chr21:46205931-46205950
6,LSS,splice acceptor,-,21,8.0,ABE,chr21:46206754-46206773,chr21:46206755-46206774,chr21:46206756-46206775,chr21:46206757-46206776,chr21:46206758-46206777
7,LSS,splice acceptor,-,21,9.0,ABE,chr21:46207563-46207582,chr21:46207564-46207583,chr21:46207565-46207584,chr21:46207566-46207585,chr21:46207567-46207586
8,LSS,splice acceptor,-,21,10.0,ABE,chr21:46208287-46208306,chr21:46208288-46208307,chr21:46208289-46208308,chr21:46208290-46208309,chr21:46208291-46208310
9,LSS,splice acceptor,-,21,11.0,ABE,chr21:46209611-46209630,chr21:46209612-46209631,chr21:46209613-46209632,chr21:46209614-46209633,chr21:46209615-46209634
10,LSS,splice acceptor,-,21,12.0,ABE,chr21:46210730-46210749,chr21:46210731-46210750,chr21:46210732-46210751,chr21:46210733-46210752,chr21:46210734-46210753
11,LSS,splice acceptor,-,21,13.0,ABE,chr21:46213038-46213057,chr21:46213039-46213058,chr21:46213040-46213059,chr21:46213041-46213060,chr21:46213042-46213061
12,LSS,splice acceptor,-,21,14.0,ABE,chr21:46213821-46213840,chr21:46213822-46213841,chr21:46213823-46213842,chr21:46213824-46213843,chr21:46213825-46213844
13,LSS,splice acceptor,-,21,15.0,ABE,chr21:46215284-46215303,chr21:46215285-46215304,chr21:46215286-46215305,chr21:46215287-46215306,chr21:46215288-46215307
14,LSS,splice acceptor,-,21,16.0,ABE,chr21:46215779-46215798,chr21:46215780-46215799,chr21:46215781-46215800,chr21:46215782-46215801,chr21:46215783-46215802
15,LSS,splice acceptor,-,21,17.0,ABE,chr21:46216510-46216529,chr21:46216511-46216530,chr21:46216512-46216531,chr21:46216513-46216532,chr21:46216514-46216533
16,LSS,splice acceptor,-,21,18.0,ABE,chr21:46219558-46219577,chr21:46219559-46219578,chr21:46219560-46219579,chr21:46219561-46219580,chr21:46219562-46219581
17,LSS,splice acceptor,-,21,19.0,ABE,chr21:46221961-46221980,chr21:46221962-46221981,chr21:46221963-46221982,chr21:46221964-46221983,chr21:46221965-46221984
18,LSS,splice acceptor,-,21,20.0,ABE,chr21:46222724-46222743,chr21:46222725-46222744,chr21:46222726-46222745,chr21:46222727-46222746,chr21:46222728-46222747
19,LSS,splice acceptor,-,21,21.0,ABE,chr21:46227676-46227695,chr21:46227677-46227696,chr21:46227678-46227697,chr21:46227679-46227698,chr21:46227680-46227699
20,LSS,splice acceptor,-,21,22.0,ABE,chr21:46228585-46228604,chr21:46228586-46228605,chr21:46228587-46228606,chr21:46228588-46228607,chr21:46228589-46228608
